Account,Title,Location,Matched,URL
Discord,"Engineering Manager, Data Platform",SF Bay Area,1,https://job-boards.greenhouse.io/discord/jobs/8397385002
Discord,"Engineering Manager, Notifications",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8537955002
Discord,"Engineering Manager, Revenue",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8502342002
Discord,"Engineering Manager, Social Commerce",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8509325002
Discord,"Director of Engineering, Safety",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8571766002
Discord,"Senior Full-Stack Software Engineer, Player Experience",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8497565002
Discord,"Senior Full-Stack Software Engineer, Quests Experience",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8177757002
Discord,"Senior Data Engineer, Analytics",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8540239002
Discord,"Senior Data Scientist, Analytics",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8468440002
Discord,Senior Privacy Engineer,SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8409005002
Discord,"Senior Security Engineer, Enterprise Security",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8447477002
Discord,"Senior Software Engineer, Ads Measurement & Targeting",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8575644002
Discord,"Senior Software Engineer, Consumer Revenue",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8460791002
Discord,"Senior Software Engineer, Enforce - Safety Processing",SF/LA,0,https://job-boards.greenhouse.io/discord/jobs/8545675002
Discord,"Senior Software Engineer, Front-End Infrastructure",SF/Remote-US,1,https://job-boards.greenhouse.io/discord/jobs/8599753002
Discord,"Senior Software Engineer, Machine Learning (Ads)",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8538039002
Discord,Senior Software Engineer - Safety Platform,SF/LA,1,https://job-boards.greenhouse.io/discord/jobs/8544305002
Discord,Senior Software Engineer - Safety Processing,SF/LA,0,https://job-boards.greenhouse.io/discord/jobs/8377248002
Discord,Senior Software Engineer - Web Platform,SF/Remote-US,1,https://job-boards.greenhouse.io/discord/jobs/8399456002
Discord,"Software Engineer, Data Platform",SF Bay Area,1,https://job-boards.greenhouse.io/discord/jobs/8396927002
Discord,"Software Engineer, Distributed Systems",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8545663002
Discord,"Staff Data Engineer, Ads",Remote (U.S.),0,https://job-boards.greenhouse.io/discord/jobs/8299493002
Discord,"Staff Data Engineer, Analytics",SF Bay Area,0,https://job-boards.greenhouse.io/discord/jobs/8485884002
Discord,"Staff Software Engineer, Data Platform","San Francisco, CA",1,https://job-boards.greenhouse.io/discord/jobs/8498984002
Discord,"Staff Software Engineer, Platform Security",SF/Remote,0,https://job-boards.greenhouse.io/discord/jobs/8177912002
Discord,Staff Software Engineer - Safety Experience,SF/LA,0,https://job-boards.greenhouse.io/discord/jobs/8344197002
Discord,"Staff Software Engineer, Safety Processing",SF/LA,0,https://job-boards.greenhouse.io/discord/jobs/8214127002
Discord,Staff Software Engineer - Consumer Revenue,Remote (U.S.),0,https://job-boards.greenhouse.io/discord/jobs/8460867002
